SECT,CLASS,COU,YEA,STRI
CS,Restrictions on foreign entry,AUS,2024,0.07710074074566364
CS,Restrictions to movement of people,AUS,2024,0.04381466656923294
CS,Other discriminatory measures,AUS,2024,0.0
CS,Barriers to competition,AUS,2024,0.0
CS,Regulatory transparency,AUS,2024,0.029407208785414696
CS,STRI,AUS,2024,0.15032261610031128
CO,Restrictions on foreign entry,AUS,2024,0.07081086561083794
CO,Restrictions to movement of people,AUS,2024,0.056567300111055374
CO,Other discriminatory measures,AUS,2024,0.0
CO,Barriers to competition,AUS,2024,0.00909553375095129
CO,Regulatory transparency,AUS,2024,0.05036117322742939
CO,STRI,AUS,2024,0.18683487176895142
PSLEG,Restrictions on foreign entry,AUS,2024,0.09513544104993343
PSLEG,Restrictions to movement of people,AUS,2024,0.021089136600494385
PSLEG,Other discriminatory measures,AUS,2024,0.0
PSLEG,Barriers to competition,AUS,2024,0.004124097991734743
PSLEG,Regulatory transparency,AUS,2024,0.02661917731165886
PSLEG,STRI,AUS,2024,0.14696785807609558
PSACC,Restrictions on foreign entry,AUS,2024,0.08356039971113205
PSACC,Restrictions to movement of people,AUS,2024,0.06463820859789848
PSACC,Other discriminatory measures,AUS,2024,0.0
PSACC,Barriers to competition,AUS,2024,0.0
PSACC,Regulatory transparency,AUS,2024,0.029518618248403072
PSACC,STRI,AUS,2024,0.17771722376346588
PSARC,Restrictions on foreign entry,AUS,2024,0.0623700600117445
PSARC,Restrictions to movement of people,AUS,2024,0.041580041870474815
PSARC,Other discriminatory measures,AUS,2024,0.0
PSARC,Barriers to competition,AUS,2024,0.0
PSARC,Regulatory transparency,AUS,2024,0.12705013155937195
PSARC,STRI,AUS,2024,0.23100024461746216
PSENG,Restrictions on foreign entry,AUS,2024,0.05973850376904011
PSENG,Restrictions to movement of people,AUS,2024,0.03685752768069506
PSENG,Other discriminatory measures,AUS,2024,0.0
PSENG,Barriers to competition,AUS,2024,0.0
PSENG,Regulatory transparency,AUS,2024,0.047339944168925285
PSENG,STRI,AUS,2024,0.14393597841262817
TC,Restrictions on foreign entry,AUS,2024,0.0864065419882536
TC,Restrictions to movement of people,AUS,2024,0.013501130975782871
TC,Other discriminatory measures,AUS,2024,0.011240729130804539
TC,Barriers to competition,AUS,2024,0.02866210788488388
TC,Regulatory transparency,AUS,2024,0.014986471273005009
TC,STRI,AUS,2024,0.15479697287082672
DS,Restrictions on foreign entry,AUS,2024,0.08835000172257423
DS,Restrictions to movement of people,AUS,2024,0.018124159891158342
DS,Other discriminatory measures,AUS,2024,0.0
DS,Barriers to competition,AUS,2024,0.00965090375393629
DS,Regulatory transparency,AUS,2024,0.01565796509385109
DS,STRI,AUS,2024,0.13178302347660065
ASBRD,Restrictions on foreign entry,AUS,2024,0.13177034631371498
ASBRD,Restrictions to movement of people,AUS,2024,0.008984341286122799
ASBRD,Other discriminatory measures,AUS,2024,0.009925558231770992
ASBRD,Barriers to competition,AUS,2024,0.01848207414150238
ASBRD,Regulatory transparency,AUS,2024,0.03935997188091278
ASBRD,STRI,AUS,2024,0.20852228999137878
ASMOT,Restrictions on foreign entry,AUS,2024,0.06951923947781324
ASMOT,Restrictions to movement of people,AUS,2024,0.016743365675210953
ASMOT,Other discriminatory measures,AUS,2024,0.01321844756603241
ASMOT,Barriers to competition,AUS,2024,0.0
ASMOT,Regulatory transparency,AUS,2024,0.033486731350421906
ASMOT,STRI,AUS,2024,0.1329677700996399
ASSOU,Restrictions on foreign entry,AUS,2024,0.07583250850439072
ASSOU,Restrictions to movement of people,AUS,2024,0.02736564539372921
ASSOU,Other discriminatory measures,AUS,2024,0.01758434996008873
ASSOU,Barriers to competition,AUS,2024,0.0
ASSOU,Regulatory transparency,AUS,2024,0.027035937644541264
ASSOU,STRI,AUS,2024,0.1478184461593628
FSBNK,Restrictions on foreign entry,AUS,2024,0.12096220254898071
FSBNK,Restrictions to movement of people,AUS,2024,0.01855670101940632
FSBNK,Other discriminatory measures,AUS,2024,0.0
FSBNK,Barriers to competition,AUS,2024,0.019243985414505005
FSBNK,Regulatory transparency,AUS,2024,0.016494845040142536
FSBNK,STRI,AUS,2024,0.17525772750377655
FSINS,Restrictions on foreign entry,AUS,2024,0.1368516543880105
FSINS,Restrictions to movement of people,AUS,2024,0.010786834172904491
FSINS,Other discriminatory measures,AUS,2024,0.0
FSINS,Barriers to competition,AUS,2024,0.010887645184993744
FSINS,Regulatory transparency,AUS,2024,0.015121730044484138
FSINS,STRI,AUS,2024,0.17364785075187683
TRAIR,Restrictions on foreign entry,AUS,2024,0.15598058234900236
TRAIR,Restrictions to movement of people,AUS,2024,0.01273310836404562
TRAIR,Other discriminatory measures,AUS,2024,0.0
TRAIR,Barriers to competition,AUS,2024,0.11672016512602568
TRAIR,Regulatory transparency,AUS,2024,0.018993554636836052
TRAIR,STRI,AUS,2024,0.3044274151325226
TRMAR,Restrictions on foreign entry,AUS,2024,0.10734094586223364
TRMAR,Restrictions to movement of people,AUS,2024,0.03915171045809984
TRMAR,Other discriminatory measures,AUS,2024,0.0
TRMAR,Barriers to competition,AUS,2024,0.015008156187832355
TRMAR,Regulatory transparency,AUS,2024,0.014355627819895744
TRMAR,STRI,AUS,2024,0.17585644125938416
TRROF,Restrictions on foreign entry,AUS,2024,0.054879628121852875
TRROF,Restrictions to movement of people,AUS,2024,0.026404347270727158
TRROF,Other discriminatory measures,AUS,2024,0.0
TRROF,Barriers to competition,AUS,2024,0.0
TRROF,Regulatory transparency,AUS,2024,0.03054620698094368
TRROF,STRI,AUS,2024,0.11183017492294312
TRRAI,Restrictions on foreign entry,AUS,2024,0.08384392596781254
TRRAI,Restrictions to movement of people,AUS,2024,0.02031602617353201
TRRAI,Other discriminatory measures,AUS,2024,0.0
TRRAI,Barriers to competition,AUS,2024,0.027732988819479942
TRRAI,Regulatory transparency,AUS,2024,0.009674298577010632
TRRAI,STRI,AUS,2024,0.14156723022460938
CR,Restrictions on foreign entry,AUS,2024,0.21262316731736064
CR,Restrictions to movement of people,AUS,2024,0.027590089943259954
CR,Other discriminatory measures,AUS,2024,0.0173527670558542
CR,Barriers to competition,AUS,2024,0.07857400085777044
CR,Regulatory transparency,AUS,2024,0.025580482091754675
CR,STRI,AUS,2024,0.3617205321788788
LSCAR,Restrictions on foreign entry,AUS,2024,0.07093995809555054
LSCAR,Restrictions to movement of people,AUS,2024,0.03420319128781557
LSCAR,Other discriminatory measures,AUS,2024,0.0
LSCAR,Barriers to competition,AUS,2024,0.02305548475123942
LSCAR,Regulatory transparency,AUS,2024,0.03800354618579149
LSCAR,STRI,AUS,2024,0.16620218753814697
LSSTG,Restrictions on foreign entry,AUS,2024,0.05597269535064697
LSSTG,Restrictions to movement of people,AUS,2024,0.024573379196226597
LSSTG,Other discriminatory measures,AUS,2024,0.0
LSSTG,Barriers to competition,AUS,2024,0.008856655098497868
LSSTG,Regulatory transparency,AUS,2024,0.06788396090269089
LSSTG,STRI,AUS,2024,0.15728668868541718
LSFGT,Restrictions on foreign entry,AUS,2024,0.07272727321833372
LSFGT,Restrictions to movement of people,AUS,2024,0.036363635212183
LSFGT,Other discriminatory measures,AUS,2024,0.0
LSFGT,Barriers to competition,AUS,2024,0.0
LSFGT,Regulatory transparency,AUS,2024,0.08000000193715096
LSFGT,STRI,AUS,2024,0.18909090757369995
LSCUS,Restrictions on foreign entry,AUS,2024,0.09206798858940601
LSCUS,Restrictions to movement of people,AUS,2024,0.01274787588045001
LSCUS,Other discriminatory measures,AUS,2024,0.0
LSCUS,Barriers to competition,AUS,2024,0.0
LSCUS,Regulatory transparency,AUS,2024,0.06798866763710976
LSCUS,STRI,AUS,2024,0.17280453443527222
CS,Restrictions on foreign entry,AUT,2024,0.046260444447398186
CS,Restrictions to movement of people,AUT,2024,0.08762933313846588
CS,Other discriminatory measures,AUT,2024,0.012016141787171364
CS,Barriers to competition,AUT,2024,0.02947869338095188
CS,Regulatory transparency,AUT,2024,0.044110813178122044
CS,STRI,AUT,2024,0.21949544548988342
CO,Restrictions on foreign entry,AUT,2024,0.011801810935139656
CO,Restrictions to movement of people,AUT,2024,0.11313460022211075
CO,Other discriminatory measures,AUT,2024,0.009217620827257633
CO,Barriers to competition,AUT,2024,0.00909553375095129
CO,Regulatory transparency,AUT,2024,0.05036117322742939
CO,STRI,AUT,2024,0.19361074268817902
PSLEG,Restrictions on foreign entry,AUT,2024,0.2446339875459671
PSLEG,Restrictions to movement of people,AUT,2024,0.09138625860214233
PSLEG,Other discriminatory measures,AUT,2024,0.006092417053878307
PSLEG,Barriers to competition,AUT,2024,0.01237229397520423
PSLEG,Regulatory transparency,AUT,2024,0.02661917731165886
PSLEG,STRI,AUT,2024,0.38110411167144775
PSACC,Restrictions on foreign entry,AUT,2024,0.09400544967502356
PSACC,Restrictions to movement of people,AUT,2024,0.12004238739609718
